"","Major","Total","Men","Women","Major_category","ShareWomen","Employed","Full_time","Part_time","Full_time_year_round","Unemployment_rate","Median","P25th","P75th","College_jobs","Non_college_jobs","Low_wage_jobs","Engineering","LogMedian"
"153","ANIMAL SCIENCES",21573,5347,16226,"Agriculture & Natural Resources",0.752143884,17112,14479,5353,10824,0.050862499,30000,22000,40000,5443,9571,2125,"0",10.3089526606443
"154","VISUAL AND PERFORMING ARTS",16250,4133,12117,"Arts",0.745661538,12870,8447,6253,6322,0.102197419,30000,22000,40000,3849,7635,2840,"0",10.3089526606443
"155","TEACHER EDUCATION: MULTIPLE LEVELS",14443,2734,11709,"Education",0.810704147,13076,11734,2214,8457,0.03654583,30000,24000,37000,10766,1949,722,"0",10.3089526606443
"156","MISCELLANEOUS PSYCHOLOGY",9628,1936,7692,"Psychology & Social Work",0.798919817,7653,5201,3221,3838,0.05190783,30000,20800,40000,2960,3948,1650,"0",10.3089526606443
"157","HUMAN SERVICES AND COMMUNITY ORGANIZATION",9374,885,8489,"Psychology & Social Work",0.90558993,8294,6455,2405,5061,0.037819026,30000,24000,35000,2878,4595,724,"0",10.3089526606443
"158","HUMANITIES",6652,2013,4639,"Humanities & Liberal Arts",0.697384245,5052,3565,2225,2661,0.068584071,30000,20000,49000,1168,3354,1141,"0",10.3089526606443
"159","THEOLOGY AND RELIGIOUS VOCATIONS",30207,18616,11591,"Humanities & Liberal Arts",0.383719006,24202,18079,8767,13944,0.062628297,29000,22000,38000,9927,12037,3304,"0",10.2750511089686
"160","STUDIO ARTS",16977,4754,12223,"Arts",0.719974083,13908,10451,5673,7413,0.089552239,29000,19200,38300,3948,8707,3586,"0",10.2750511089686
"161","COSMETOLOGY SERVICES AND CULINARY ARTS",10510,4364,6146,"Industrial Arts & Consumer Services",0.584776403,8650,7662,2064,5949,0.055676856,29000,20000,36000,563,7384,3163,"0",10.2750511089686
"162","MISCELLANEOUS AGRICULTURE",1488,404,1084,"Agriculture & Natural Resources",0.728494624,1290,1098,335,936,0.059766764,29000,23000,42100,483,626,31,"0",10.2750511089686
"163","ANTHROPOLOGY AND ARCHEOLOGY",38844,11376,27468,"Humanities & Liberal Arts",0.707136237,29633,20147,14515,13232,0.102791571,28000,20000,38000,9805,16693,6866,"0",10.2399597891573
"164","COMMUNICATION DISORDERS SCIENCES AND SERVICES",38279,1225,37054,"Health",0.967998119,29763,19975,13862,14460,0.047584,28000,20000,40000,19957,9404,5125,"0",10.2399597891573
"165","EARLY CHILDHOOD EDUCATION",37589,1167,36422,"Education",0.968953683,32551,27569,7001,20748,0.040104981,28000,21000,35000,23515,7705,2868,"0",10.2399597891573
"166","OTHER FOREIGN LANGUAGES",11204,3472,7732,"Humanities & Liberal Arts",0.690110675,7052,5197,3685,3214,0.107115726,27500,22900,38000,2326,3703,1115,"0",10.2219412836547
"167","DRAMA AND THEATER ARTS",43249,14440,28809,"Arts",0.666119448,36165,25147,15994,16891,0.07754113,27000,19200,35000,6994,25313,11068,"0",10.2035921449865
"168","COMPOSITION AND RHETORIC",18953,7022,11931,"Humanities & Liberal Arts",0.629504564,15053,10121,6612,7832,0.081742207,27000,20000,35000,4855,8100,3466,"0",10.2035921449865
"169","ZOOLOGY",8409,3050,5359,"Biology & Life Science",0.637293376,6259,5043,2190,3602,0.04632028,26000,20000,39000,2771,2947,743,"0",10.1658518170036
"170","EDUCATIONAL PSYCHOLOGY",2854,522,2332,"Psychology & Social Work",0.817098809,2125,1848,572,1211,0.065112187,25000,24000,34000,1488,615,82,"0",10.1266311038503
"171","CLINICAL PSYCHOLOGY",2838,568,2270,"Psychology & Social Work",0.799859056,2101,1724,648,1293,0.149048198,25000,25000,40000,986,870,622,"0",10.1266311038503
"172","COUNSELING PSYCHOLOGY",4626,931,3695,"Psychology & Social Work",0.798746217,3777,3154,965,2738,0.053620646,23400,19200,26000,2403,1245,308,"0",10.0604913013458
"173","LIBRARY SCIENCE",1098,134,964,"Education",0.877959927,742,593,237,410,0.104945718,22000,20000,22000,288,338,192,"0",9.99879773234045
